Station Number,Inverter Number,Combiner Number,String Number,STD
1,1,1,1,0.303139383
1,1,1,2,2.401792772
1,1,1,3,1.327165671
1,1,1,4,0.685882474
1,1,1,5,2.050460538
1,1,1,6,2.4712914
1,1,1,7,1.950525331
1,1,1,8,0.113318657
1,1,1,9,0.575696622
1,1,1,10,1.867011838
1,1,1,11,2.975172211
1,1,1,12,1.474643915
1,1,1,13,1.904382198
1,1,1,14,0.42175224
1,1,1,15,2.399499548
1,1,1,16,0.758231601
1,1,2,1,2.131626859
1,1,2,2,2.686652928
1,1,2,3,0.163705193
1,1,2,4,2.466853473
1,1,2,5,2.062378599
1,1,2,6,2.081826554
1,1,2,7,0.283123023
1,1,2,8,0.312533413
1,1,2,9,2.304077845
1,1,2,10,0.956088435
1,1,2,11,0.29556621
1,1,2,12,0.946025517
1,1,2,13,2.196035945
1,1,2,14,0.734781848
1,1,2,15,2.569843639
1,1,2,16,0.90903638
1,1,3,1,1.051824264
1,1,3,2,1.238063466
1,1,3,3,0.446568148
1,1,3,4,1.208738313
1,1,3,5,1.612666817
1,1,3,6,1.60534392
1,1,3,7,0.395533227
1,1,3,8,1.343207606
1,1,3,9,2.486833546
1,1,3,10,0.115510478
1,1,3,11,1.886205446
1,1,3,12,1.993081784
1,1,3,13,0.256536948
1,1,3,14,2.752331941
1,1,3,15,0.599217
1,1,3,16,0.796746856
1,1,4,1,2.813206361
1,1,4,2,2.563460033
1,1,4,3,2.040918173
1,1,4,4,1.747307175
1,1,4,5,2.225156304
1,1,4,6,0.684151585
1,1,4,7,1.413444016
1,1,4,8,1.625969738
1,1,4,9,0.080072869
1,1,4,10,1.72015579
1,1,4,11,1.425307608
1,1,4,12,0.360647767
1,1,4,13,0.098047118
1,1,4,14,0.6711702
1,1,4,15,0.429597977
1,1,4,16,1.375685465
1,1,5,1,1.357715318
1,1,5,2,2.271946489
1,1,5,3,1.44875159
1,1,5,4,1.324285672
1,1,5,5,1.025354932
1,1,5,6,2.35541677
1,1,5,7,0.887032735
1,1,5,8,1.835731379
1,1,5,9,1.604938053
1,1,5,10,1.060540543
1,1,5,11,1.335634973
1,1,5,12,0.412220837
1,1,5,13,0.961841779
1,1,5,14,1.874398209
1,1,5,15,1.858718006
1,1,5,16,1.886446135
1,1,6,1,1.565965291
1,1,6,2,2.241426296
1,1,6,3,0.469205522
1,1,6,4,2.625398633
1,1,6,5,1.430370159
1,1,6,6,2.994849624
1,1,6,7,2.376641047
1,1,6,8,0.313555609
1,1,6,9,2.805113941
1,1,6,10,2.880210227
1,1,6,11,0.655449163
1,1,6,12,1.16518975
1,1,6,13,0.328743376
1,1,6,14,0.365036167
1,1,6,15,0.578308256
1,1,6,16,2.030572732
1,1,7,1,2.027852413
1,1,7,2,2.801658896
1,1,7,3,1.186674004
1,1,7,4,2.532861474
1,1,7,5,2.706658073
1,1,7,6,1.219412948
1,1,7,7,2.787178482
1,1,7,8,2.960146586
1,1,7,9,0.283048729
1,1,7,10,0.581026677
1,1,7,11,1.409205947
